bytes,jafont,lead_hex,slot_hex,slot_decimal,row_1based,column_1based,unicode,char,source_glyph,notes
C0 56,jafont_7.tex,C0,56,86,6,7,U+ACA0,겠,hangulfont_1.tex.png:39,exact ff7K(PC).tbl byte position
C0 57,jafont_7.tex,C0,57,87,6,8,U+ACA1,겡,hangulfont_1.tex.png:3A,exact ff7K(PC).tbl byte position
C0 58,jafont_7.tex,C0,58,88,6,9,U+ACA8,겨,hangulfont_1.tex.png:3B,exact ff7K(PC).tbl byte position
C0 59,jafont_7.tex,C0,59,89,6,10,U+ACA9,격,hangulfont_1.tex.png:3C,exact ff7K(PC).tbl byte position
C0 5A,jafont_7.tex,C0,5A,90,6,11,U+ACAA,겪,hangulfont_1.tex.png:3D,exact ff7K(PC).tbl byte position
C0 5B,jafont_7.tex,C0,5B,91,6,12,U+ACAC,견,hangulfont_1.tex.png:3E,exact ff7K(PC).tbl byte position
C0 5C,jafont_7.tex,C0,5C,92,6,13,U+ACAF,겯,hangulfont_1.tex.png:3F,exact ff7K(PC).tbl byte position
C0 5D,jafont_7.tex,C0,5D,93,6,14,U+ACB0,결,hangulfont_1.tex.png:40,exact ff7K(PC).tbl byte position
C0 5F,jafont_7.tex,C0,5F,95,6,16,U+ACB8,겸,hangulfont_1.tex.png:41,exact ff7K(PC).tbl byte position
C0 60,jafont_7.tex,C0,60,96,7,1,U+ACB9,겹,hangulfont_1.tex.png:42,exact ff7K(PC).tbl byte position
C0 61,jafont_7.tex,C0,61,97,7,2,U+ACBB,겻,hangulfont_1.tex.png:43,exact ff7K(PC).tbl byte position
C0 62,jafont_7.tex,C0,62,98,7,3,U+ACBC,겼,hangulfont_1.tex.png:44,exact ff7K(PC).tbl byte position
C0 63,jafont_7.tex,C0,63,99,7,4,U+ACBD,경,hangulfont_1.tex.png:45,exact ff7K(PC).tbl byte position
C0 64,jafont_7.tex,C0,64,100,7,5,U+ACC1,곁,hangulfont_1.tex.png:46,exact ff7K(PC).tbl byte position
C0 65,jafont_7.tex,C0,65,101,7,6,U+ACC4,계,hangulfont_1.tex.png:47,exact ff7K(PC).tbl byte position
C0 66,jafont_7.tex,C0,66,102,7,7,U+ACC8,곈,hangulfont_1.tex.png:48,exact ff7K(PC).tbl byte position
C0 67,jafont_7.tex,C0,67,103,7,8,U+ACCC,곌,hangulfont_1.tex.png:49,exact ff7K(PC).tbl byte position
C0 68,jafont_7.tex,C0,68,104,7,9,U+ACD5,곕,hangulfont_1.tex.png:4A,exact ff7K(PC).tbl byte position
C0 69,jafont_7.tex,C0,69,105,7,10,U+ACD7,곗,hangulfont_1.tex.png:4B,exact ff7K(PC).tbl byte position
C0 6A,jafont_7.tex,C0,6A,106,7,11,U+ACE0,고,hangulfont_1.tex.png:4C,exact ff7K(PC).tbl byte position
C0 6B,jafont_7.tex,C0,6B,107,7,12,U+ACE1,곡,hangulfont_1.tex.png:4D,exact ff7K(PC).tbl byte position
C0 6C,jafont_7.tex,C0,6C,108,7,13,U+ACE4,곤,hangulfont_1.tex.png:4E,exact ff7K(PC).tbl byte position
C0 6D,jafont_7.tex,C0,6D,109,7,14,U+ACE7,곧,hangulfont_1.tex.png:4F,exact ff7K(PC).tbl byte position
C0 6E,jafont_7.tex,C0,6E,110,7,15,U+ACE8,골,hangulfont_1.tex.png:50,exact ff7K(PC).tbl byte position
C0 6F,jafont_7.tex,C0,6F,111,7,16,U+ACEA,곪,hangulfont_1.tex.png:51,exact ff7K(PC).tbl byte position
C0 70,jafont_7.tex,C0,70,112,8,1,U+ACEC,곬,hangulfont_1.tex.png:52,exact ff7K(PC).tbl byte position
C0 71,jafont_7.tex,C0,71,113,8,2,U+ACEF,곯,hangulfont_1.tex.png:53,exact ff7K(PC).tbl byte position
C0 72,jafont_7.tex,C0,72,114,8,3,U+ACF0,곰,hangulfont_1.tex.png:54,exact ff7K(PC).tbl byte position
C0 74,jafont_7.tex,C0,74,116,8,5,U+ACF1,곱,hangulfont_1.tex.png:55,exact ff7K(PC).tbl byte position
C0 75,jafont_7.tex,C0,75,117,8,6,U+ACF3,곳,hangulfont_1.tex.png:56,exact ff7K(PC).tbl byte position
C0 76,jafont_7.tex,C0,76,118,8,7,U+ACF5,공,hangulfont_1.tex.png:57,exact ff7K(PC).tbl byte position
C0 77,jafont_7.tex,C0,77,119,8,8,U+ACF6,곶,hangulfont_1.tex.png:58,exact ff7K(PC).tbl byte position
C0 78,jafont_7.tex,C0,78,120,8,9,U+ACFC,과,hangulfont_1.tex.png:59,exact ff7K(PC).tbl byte position
C0 79,jafont_7.tex,C0,79,121,8,10,U+ACFD,곽,hangulfont_1.tex.png:5A,exact ff7K(PC).tbl byte position
C0 7A,jafont_7.tex,C0,7A,122,8,11,U+AD00,관,hangulfont_1.tex.png:5B,exact ff7K(PC).tbl byte position
C0 7B,jafont_7.tex,C0,7B,123,8,12,U+AD04,괄,hangulfont_1.tex.png:5C,exact ff7K(PC).tbl byte position
C0 7C,jafont_7.tex,C0,7C,124,8,13,U+AD06,괆,hangulfont_1.tex.png:5D,exact ff7K(PC).tbl byte position
C0 7D,jafont_7.tex,C0,7D,125,8,14,U+AD0C,괌,hangulfont_1.tex.png:5E,exact ff7K(PC).tbl byte position
C0 7E,jafont_7.tex,C0,7E,126,8,15,U+AD0D,괍,hangulfont_1.tex.png:5F,exact ff7K(PC).tbl byte position
C0 7F,jafont_7.tex,C0,7F,127,8,16,U+AD0F,괏,hangulfont_1.tex.png:60,exact ff7K(PC).tbl byte position
C0 80,jafont_7.tex,C0,80,128,9,1,U+AD11,광,hangulfont_1.tex.png:61,exact ff7K(PC).tbl byte position
C0 81,jafont_7.tex,C0,81,129,9,2,U+AD18,괘,hangulfont_1.tex.png:62,exact ff7K(PC).tbl byte position
C0 82,jafont_7.tex,C0,82,130,9,3,U+AD1C,괜,hangulfont_1.tex.png:63,exact ff7K(PC).tbl byte position
C0 83,jafont_7.tex,C0,83,131,9,4,U+AD20,괠,hangulfont_1.tex.png:64,exact ff7K(PC).tbl byte position
C0 84,jafont_7.tex,C0,84,132,9,5,U+AD29,괩,hangulfont_1.tex.png:65,exact ff7K(PC).tbl byte position
C0 85,jafont_7.tex,C0,85,133,9,6,U+AD2C,괬,hangulfont_1.tex.png:66,exact ff7K(PC).tbl byte position
C0 86,jafont_7.tex,C0,86,134,9,7,U+AD2D,괭,hangulfont_1.tex.png:67,exact ff7K(PC).tbl byte position
C0 87,jafont_7.tex,C0,87,135,9,8,U+AD34,괴,hangulfont_1.tex.png:68,exact ff7K(PC).tbl byte position
C0 89,jafont_7.tex,C0,89,137,9,10,U+AD35,괵,hangulfont_1.tex.png:69,exact ff7K(PC).tbl byte position
C0 8A,jafont_7.tex,C0,8A,138,9,11,U+AD38,괸,hangulfont_1.tex.png:6A,exact ff7K(PC).tbl byte position
C0 8B,jafont_7.tex,C0,8B,139,9,12,U+AD3C,괼,hangulfont_1.tex.png:6B,exact ff7K(PC).tbl byte position
C0 8C,jafont_7.tex,C0,8C,140,9,13,U+AD44,굄,hangulfont_1.tex.png:6C,exact ff7K(PC).tbl byte position
C0 8D,jafont_7.tex,C0,8D,141,9,14,U+AD45,굅,hangulfont_1.tex.png:6D,exact ff7K(PC).tbl byte position
C0 8E,jafont_7.tex,C0,8E,142,9,15,U+AD47,굇,hangulfont_1.tex.png:6E,exact ff7K(PC).tbl byte position
C0 8F,jafont_7.tex,C0,8F,143,9,16,U+AD49,굉,hangulfont_1.tex.png:6F,exact ff7K(PC).tbl byte position
C0 90,jafont_7.tex,C0,90,144,10,1,U+AD50,교,hangulfont_1.tex.png:70,exact ff7K(PC).tbl byte position
C0 91,jafont_7.tex,C0,91,145,10,2,U+AD54,굔,hangulfont_1.tex.png:71,exact ff7K(PC).tbl byte position
C0 92,jafont_7.tex,C0,92,146,10,3,U+AD58,굘,hangulfont_1.tex.png:72,exact ff7K(PC).tbl byte position
C0 93,jafont_7.tex,C0,93,147,10,4,U+AD61,굡,hangulfont_1.tex.png:73,exact ff7K(PC).tbl byte position
C0 94,jafont_7.tex,C0,94,148,10,5,U+AD63,굣,hangulfont_1.tex.png:74,exact ff7K(PC).tbl byte position
C0 95,jafont_7.tex,C0,95,149,10,6,U+AD6C,구,hangulfont_1.tex.png:75,exact ff7K(PC).tbl byte position
C0 96,jafont_7.tex,C0,96,150,10,7,U+AD6D,국,hangulfont_1.tex.png:76,exact ff7K(PC).tbl byte position
C0 97,jafont_7.tex,C0,97,151,10,8,U+AD70,군,hangulfont_1.tex.png:77,exact ff7K(PC).tbl byte position
C0 98,jafont_7.tex,C0,98,152,10,9,U+AD73,굳,hangulfont_1.tex.png:78,exact ff7K(PC).tbl byte position
C0 99,jafont_7.tex,C0,99,153,10,10,U+AD74,굴,hangulfont_1.tex.png:79,exact ff7K(PC).tbl byte position
C0 9A,jafont_7.tex,C0,9A,154,10,11,U+AD75,굵,hangulfont_1.tex.png:7A,exact ff7K(PC).tbl byte position
C0 9B,jafont_7.tex,C0,9B,155,10,12,U+AD76,굶,hangulfont_1.tex.png:7B,exact ff7K(PC).tbl byte position
C0 9C,jafont_7.tex,C0,9C,156,10,13,U+AD7B,굻,hangulfont_1.tex.png:7C,exact ff7K(PC).tbl byte position
C0 9E,jafont_7.tex,C0,9E,158,10,15,U+AD7C,굼,hangulfont_1.tex.png:7D,exact ff7K(PC).tbl byte position
C0 9F,jafont_7.tex,C0,9F,159,10,16,U+AD7D,굽,hangulfont_1.tex.png:7E,exact ff7K(PC).tbl byte position
C0 A0,jafont_7.tex,C0,A0,160,11,1,U+AD7F,굿,hangulfont_1.tex.png:7F,exact ff7K(PC).tbl byte position
C0 A1,jafont_7.tex,C0,A1,161,11,2,U+AD81,궁,hangulfont_1.tex.png:80,exact ff7K(PC).tbl byte position
C0 A2,jafont_7.tex,C0,A2,162,11,3,U+AD82,궂,hangulfont_1.tex.png:81,exact ff7K(PC).tbl byte position
C0 A3,jafont_7.tex,C0,A3,163,11,4,U+AD88,궈,hangulfont_1.tex.png:82,exact ff7K(PC).tbl byte position
C0 A4,jafont_7.tex,C0,A4,164,11,5,U+AD89,궉,hangulfont_1.tex.png:83,exact ff7K(PC).tbl byte position
C0 A5,jafont_7.tex,C0,A5,165,11,6,U+AD8C,권,hangulfont_1.tex.png:84,exact ff7K(PC).tbl byte position
C0 A6,jafont_7.tex,C0,A6,166,11,7,U+AD90,궐,hangulfont_1.tex.png:85,exact ff7K(PC).tbl byte position
C0 A7,jafont_7.tex,C0,A7,167,11,8,U+AD9C,궜,hangulfont_1.tex.png:86,exact ff7K(PC).tbl byte position
C0 A8,jafont_7.tex,C0,A8,168,11,9,U+AD9D,궝,hangulfont_1.tex.png:87,exact ff7K(PC).tbl byte position
C0 A9,jafont_7.tex,C0,A9,169,11,10,U+ADA4,궤,hangulfont_1.tex.png:88,exact ff7K(PC).tbl byte position
C0 AA,jafont_7.tex,C0,AA,170,11,11,U+ADB7,궷,hangulfont_1.tex.png:89,exact ff7K(PC).tbl byte position
C0 AB,jafont_7.tex,C0,AB,171,11,12,U+ADC0,귀,hangulfont_1.tex.png:8A,exact ff7K(PC).tbl byte position
C0 AC,jafont_7.tex,C0,AC,172,11,13,U+ADC1,귁,hangulfont_1.tex.png:8B,exact ff7K(PC).tbl byte position
C0 AD,jafont_7.tex,C0,AD,173,11,14,U+ADC4,귄,hangulfont_1.tex.png:8C,exact ff7K(PC).tbl byte position
C0 AE,jafont_7.tex,C0,AE,174,11,15,U+ADC8,귈,hangulfont_1.tex.png:8D,exact ff7K(PC).tbl byte position
C0 AF,jafont_7.tex,C0,AF,175,11,16,U+ADD0,귐,hangulfont_1.tex.png:8E,exact ff7K(PC).tbl byte position
C0 B0,jafont_7.tex,C0,B0,176,12,1,U+ADD1,귑,hangulfont_1.tex.png:8F,exact ff7K(PC).tbl byte position
C0 B1,jafont_7.tex,C0,B1,177,12,2,U+ADD3,귓,hangulfont_1.tex.png:90,exact ff7K(PC).tbl byte position
C0 B3,jafont_7.tex,C0,B3,179,12,4,U+ADDC,규,hangulfont_1.tex.png:91,exact ff7K(PC).tbl byte position
C0 B4,jafont_7.tex,C0,B4,180,12,5,U+ADE0,균,hangulfont_1.tex.png:92,exact ff7K(PC).tbl byte position
C0 B5,jafont_7.tex,C0,B5,181,12,6,U+ADE4,귤,hangulfont_1.tex.png:93,exact ff7K(PC).tbl byte position
C0 B6,jafont_7.tex,C0,B6,182,12,7,U+ADF8,그,hangulfont_1.tex.png:94,exact ff7K(PC).tbl byte position
C0 B7,jafont_7.tex,C0,B7,183,12,8,U+ADF9,극,hangulfont_1.tex.png:95,exact ff7K(PC).tbl byte position
C0 B8,jafont_7.tex,C0,B8,184,12,9,U+ADFC,근,hangulfont_1.tex.png:96,exact ff7K(PC).tbl byte position
C0 B9,jafont_7.tex,C0,B9,185,12,10,U+ADFF,귿,hangulfont_1.tex.png:97,exact ff7K(PC).tbl byte position
C0 BA,jafont_7.tex,C0,BA,186,12,11,U+AE00,글,hangulfont_1.tex.png:98,exact ff7K(PC).tbl byte position
C0 BB,jafont_7.tex,C0,BB,187,12,12,U+AE01,긁,hangulfont_1.tex.png:99,exact ff7K(PC).tbl byte position
C0 BC,jafont_7.tex,C0,BC,188,12,13,U+AE08,금,hangulfont_1.tex.png:9A,exact ff7K(PC).tbl byte position
C0 BD,jafont_7.tex,C0,BD,189,12,14,U+AE09,급,hangulfont_1.tex.png:9B,exact ff7K(PC).tbl byte position
C0 BE,jafont_7.tex,C0,BE,190,12,15,U+AE0B,긋,hangulfont_1.tex.png:9C,exact ff7K(PC).tbl byte position
C0 BF,jafont_7.tex,C0,BF,191,12,16,U+AE0D,긍,hangulfont_1.tex.png:9D,exact ff7K(PC).tbl byte position
C1 00,jafont_8.tex,C1,00,0,1,1,U+AE14,긔,hangulfont_1.tex.png:9E,exact ff7K(PC).tbl byte position
C1 01,jafont_8.tex,C1,01,1,1,2,U+AE30,기,hangulfont_1.tex.png:9F,exact ff7K(PC).tbl byte position
C1 02,jafont_8.tex,C1,02,2,1,3,U+AE31,긱,hangulfont_1.tex.png:A0,exact ff7K(PC).tbl byte position
C1 03,jafont_8.tex,C1,03,3,1,4,U+AE34,긴,hangulfont_1.tex.png:A1,exact ff7K(PC).tbl byte position
C1 04,jafont_8.tex,C1,04,4,1,5,U+AE37,긷,hangulfont_1.tex.png:A2,exact ff7K(PC).tbl byte position
C1 05,jafont_8.tex,C1,05,5,1,6,U+AE38,길,hangulfont_1.tex.png:A3,exact ff7K(PC).tbl byte position
C1 06,jafont_8.tex,C1,06,6,1,7,U+AE3A,긺,hangulfont_1.tex.png:A4,exact ff7K(PC).tbl byte position
C1 07,jafont_8.tex,C1,07,7,1,8,U+AE40,김,hangulfont_1.tex.png:A5,exact ff7K(PC).tbl byte position
C1 08,jafont_8.tex,C1,08,8,1,9,U+AE41,깁,hangulfont_1.tex.png:A6,exact ff7K(PC).tbl byte position
C1 09,jafont_8.tex,C1,09,9,1,10,U+AE43,깃,hangulfont_1.tex.png:A7,exact ff7K(PC).tbl byte position
C1 0B,jafont_8.tex,C1,0B,11,1,12,U+AE45,깅,hangulfont_1.tex.png:A8,exact ff7K(PC).tbl byte position
C1 0C,jafont_8.tex,C1,0C,12,1,13,U+AE46,깆,hangulfont_1.tex.png:A9,exact ff7K(PC).tbl byte position
C1 0D,jafont_8.tex,C1,0D,13,1,14,U+AE4A,깊,hangulfont_1.tex.png:AA,exact ff7K(PC).tbl byte position
C1 0E,jafont_8.tex,C1,0E,14,1,15,U+AE4C,까,hangulfont_1.tex.png:AB,exact ff7K(PC).tbl byte position
C1 0F,jafont_8.tex,C1,0F,15,1,16,U+AE4D,깍,hangulfont_1.tex.png:AC,exact ff7K(PC).tbl byte position
C1 10,jafont_8.tex,C1,10,16,2,1,U+AE4E,깎,hangulfont_1.tex.png:AD,exact ff7K(PC).tbl byte position
C1 11,jafont_8.tex,C1,11,17,2,2,U+AE50,깐,hangulfont_1.tex.png:AE,exact ff7K(PC).tbl byte position
C1 12,jafont_8.tex,C1,12,18,2,3,U+AE54,깔,hangulfont_1.tex.png:AF,exact ff7K(PC).tbl byte position
C1 13,jafont_8.tex,C1,13,19,2,4,U+AE56,깖,hangulfont_1.tex.png:B0,exact ff7K(PC).tbl byte position
C1 14,jafont_8.tex,C1,14,20,2,5,U+AE5C,깜,hangulfont_1.tex.png:B1,exact ff7K(PC).tbl byte position
C1 15,jafont_8.tex,C1,15,21,2,6,U+AE5D,깝,hangulfont_1.tex.png:B2,exact ff7K(PC).tbl byte position
C1 16,jafont_8.tex,C1,16,22,2,7,U+AE5F,깟,hangulfont_1.tex.png:B3,exact ff7K(PC).tbl byte position
C1 17,jafont_8.tex,C1,17,23,2,8,U+AE60,깠,hangulfont_1.tex.png:B4,exact ff7K(PC).tbl byte position
C1 18,jafont_8.tex,C1,18,24,2,9,U+AE61,깡,hangulfont_1.tex.png:B5,exact ff7K(PC).tbl byte position
C1 19,jafont_8.tex,C1,19,25,2,10,U+AE65,깥,hangulfont_1.tex.png:B6,exact ff7K(PC).tbl byte position
C1 1A,jafont_8.tex,C1,1A,26,2,11,U+AE68,깨,hangulfont_1.tex.png:B7,exact ff7K(PC).tbl byte position
C1 1B,jafont_8.tex,C1,1B,27,2,12,U+AE69,깩,hangulfont_1.tex.png:B8,exact ff7K(PC).tbl byte position
C1 1C,jafont_8.tex,C1,1C,28,2,13,U+AE6C,깬,hangulfont_1.tex.png:B9,exact ff7K(PC).tbl byte position
C1 1D,jafont_8.tex,C1,1D,29,2,14,U+AE70,깰,hangulfont_1.tex.png:BA,exact ff7K(PC).tbl byte position
C1 1E,jafont_8.tex,C1,1E,30,2,15,U+AE78,깸,hangulfont_1.tex.png:BB,exact ff7K(PC).tbl byte position
C1 20,jafont_8.tex,C1,20,32,3,1,U+AE79,깹,hangulfont_1.tex.png:BC,exact ff7K(PC).tbl byte position
C1 21,jafont_8.tex,C1,21,33,3,2,U+AE7B,깻,hangulfont_1.tex.png:BD,exact ff7K(PC).tbl byte position
C1 22,jafont_8.tex,C1,22,34,3,3,U+AE7C,깼,hangulfont_1.tex.png:BE,exact ff7K(PC).tbl byte position
C1 23,jafont_8.tex,C1,23,35,3,4,U+AE7D,깽,hangulfont_1.tex.png:BF,exact ff7K(PC).tbl byte position
C1 24,jafont_8.tex,C1,24,36,3,5,U+AE84,꺄,hangulfont_1.tex.png:C0,exact ff7K(PC).tbl byte position
C1 25,jafont_8.tex,C1,25,37,3,6,U+AE85,꺅,hangulfont_1.tex.png:C1,exact ff7K(PC).tbl byte position
C1 26,jafont_8.tex,C1,26,38,3,7,U+AE8C,꺌,hangulfont_1.tex.png:C2,exact ff7K(PC).tbl byte position
C1 27,jafont_8.tex,C1,27,39,3,8,U+AEBC,꺼,hangulfont_1.tex.png:C3,exact ff7K(PC).tbl byte position
C1 28,jafont_8.tex,C1,28,40,3,9,U+AEBD,꺽,hangulfont_1.tex.png:C4,exact ff7K(PC).tbl byte position
C1 29,jafont_8.tex,C1,29,41,3,10,U+AEBE,꺾,hangulfont_1.tex.png:C5,exact ff7K(PC).tbl byte position
C1 2A,jafont_8.tex,C1,2A,42,3,11,U+AEC0,껀,hangulfont_1.tex.png:C6,exact ff7K(PC).tbl byte position
C1 2B,jafont_8.tex,C1,2B,43,3,12,U+AEC4,껄,hangulfont_1.tex.png:C7,exact ff7K(PC).tbl byte position
C1 2C,jafont_8.tex,C1,2C,44,3,13,U+AECC,껌,hangulfont_1.tex.png:C8,exact ff7K(PC).tbl byte position
C1 2D,jafont_8.tex,C1,2D,45,3,14,U+AECD,껍,hangulfont_1.tex.png:C9,exact ff7K(PC).tbl byte position
C1 2E,jafont_8.tex,C1,2E,46,3,15,U+AECF,껏,hangulfont_1.tex.png:CA,exact ff7K(PC).tbl byte position
C1 2F,jafont_8.tex,C1,2F,47,3,16,U+AED0,껐,hangulfont_1.tex.png:CB,exact ff7K(PC).tbl byte position
