unicode_character,unicode_codepoint,korean_source_code_or_index,intended_lead_byte,intended_trail_byte,page_number,glyph_index,width,source_atlas_coordinates,destination_atlas_coordinates,notes
개,U+AC1C,18,C0,2D,0,45,64,"hangulfont_1.tex:2,1","13,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
객,U+AC1D,19,C0,2E,0,46,64,"hangulfont_1.tex:3,1","14,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갠,U+AC20,20,C0,2F,0,47,64,"hangulfont_1.tex:4,1","15,2",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갤,U+AC24,21,C0,30,0,48,64,"hangulfont_1.tex:5,1","0,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갬,U+AC2C,22,C0,31,0,49,64,"hangulfont_1.tex:6,1","1,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갭,U+AC2D,23,C0,32,0,50,64,"hangulfont_1.tex:7,1","2,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갯,U+AC2F,24,C0,33,0,51,64,"hangulfont_1.tex:8,1","3,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갰,U+AC30,25,C0,35,0,53,64,"hangulfont_1.tex:9,1","5,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갱,U+AC31,26,C0,36,0,54,64,"hangulfont_1.tex:10,1","6,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갸,U+AC38,27,C0,37,0,55,64,"hangulfont_1.tex:11,1","7,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갹,U+AC39,28,C0,38,0,56,64,"hangulfont_1.tex:12,1","8,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
갼,U+AC3C,29,C0,39,0,57,64,"hangulfont_1.tex:13,1","9,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
걀,U+AC40,30,C0,3A,0,58,64,"hangulfont_1.tex:14,1","10,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
걋,U+AC4B,31,C0,3B,0,59,64,"hangulfont_1.tex:15,1","11,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
걍,U+AC4D,32,C0,3C,0,60,64,"hangulfont_1.tex:0,2","12,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
걔,U+AC54,33,C0,3D,0,61,64,"hangulfont_1.tex:1,2","13,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
걘,U+AC58,34,C0,3E,0,62,64,"hangulfont_1.tex:2,2","14,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
걜,U+AC5C,35,C0,3F,0,63,64,"hangulfont_1.tex:3,2","15,3",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
거,U+AC70,36,C0,40,0,64,64,"hangulfont_1.tex:4,2","0,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
걱,U+AC71,37,C0,41,0,65,64,"hangulfont_1.tex:5,2","1,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
건,U+AC74,38,C0,42,0,66,64,"hangulfont_1.tex:6,2","2,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
걷,U+AC77,39,C0,43,0,67,64,"hangulfont_1.tex:7,2","3,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
걸,U+AC78,40,C0,44,0,68,64,"hangulfont_1.tex:8,2","4,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
걺,U+AC7A,41,C0,45,0,69,64,"hangulfont_1.tex:9,2","5,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
검,U+AC80,42,C0,46,0,70,64,"hangulfont_1.tex:10,2","6,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겁,U+AC81,43,C0,47,0,71,64,"hangulfont_1.tex:11,2","7,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
것,U+AC83,44,C0,48,0,72,64,"hangulfont_1.tex:12,2","8,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겄,U+AC84,45,C0,4A,0,74,64,"hangulfont_1.tex:13,2","10,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겅,U+AC85,46,C0,4B,0,75,64,"hangulfont_1.tex:14,2","11,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겆,U+AC86,47,C0,4C,0,76,64,"hangulfont_1.tex:15,2","12,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겉,U+AC89,48,C0,4D,0,77,64,"hangulfont_1.tex:0,3","13,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겊,U+AC8A,49,C0,4E,0,78,64,"hangulfont_1.tex:1,3","14,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겋,U+AC8B,50,C0,4F,0,79,64,"hangulfont_1.tex:2,3","15,4",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
게,U+AC8C,51,C0,50,0,80,64,"hangulfont_1.tex:3,3","0,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겐,U+AC90,52,C0,51,0,81,64,"hangulfont_1.tex:4,3","1,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겔,U+AC94,53,C0,52,0,82,64,"hangulfont_1.tex:5,3","2,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겜,U+AC9C,54,C0,53,0,83,64,"hangulfont_1.tex:6,3","3,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겝,U+AC9D,55,C0,54,0,84,64,"hangulfont_1.tex:7,3","4,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겟,U+AC9F,56,C0,55,0,85,64,"hangulfont_1.tex:8,3","5,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겠,U+ACA0,57,C0,56,0,86,64,"hangulfont_1.tex:9,3","6,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겡,U+ACA1,58,C0,57,0,87,64,"hangulfont_1.tex:10,3","7,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겨,U+ACA8,59,C0,58,0,88,64,"hangulfont_1.tex:11,3","8,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
격,U+ACA9,60,C0,59,0,89,64,"hangulfont_1.tex:12,3","9,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겪,U+ACAA,61,C0,5A,0,90,64,"hangulfont_1.tex:13,3","10,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
견,U+ACAC,62,C0,5B,0,91,64,"hangulfont_1.tex:14,3","11,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겯,U+ACAF,63,C0,5C,0,92,64,"hangulfont_1.tex:15,3","12,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
결,U+ACB0,64,C0,5D,0,93,64,"hangulfont_1.tex:0,4","13,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겸,U+ACB8,65,C0,5F,0,95,64,"hangulfont_1.tex:1,4","15,5",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겹,U+ACB9,66,C0,60,0,96,64,"hangulfont_1.tex:2,4","0,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겻,U+ACBB,67,C0,61,0,97,64,"hangulfont_1.tex:3,4","1,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
겼,U+ACBC,68,C0,62,0,98,64,"hangulfont_1.tex:4,4","2,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곁,U+ACC1,70,C0,64,0,100,64,"hangulfont_1.tex:6,4","4,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
계,U+ACC4,71,C0,65,0,101,64,"hangulfont_1.tex:7,4","5,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곈,U+ACC8,72,C0,66,0,102,64,"hangulfont_1.tex:8,4","6,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곌,U+ACCC,73,C0,67,0,103,64,"hangulfont_1.tex:9,4","7,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곕,U+ACD5,74,C0,68,0,104,64,"hangulfont_1.tex:10,4","8,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곗,U+ACD7,75,C0,69,0,105,64,"hangulfont_1.tex:11,4","9,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
고,U+ACE0,76,C0,6A,0,106,64,"hangulfont_1.tex:12,4","10,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곡,U+ACE1,77,C0,6B,0,107,64,"hangulfont_1.tex:13,4","11,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곤,U+ACE4,78,C0,6C,0,108,64,"hangulfont_1.tex:14,4","12,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곧,U+ACE7,79,C0,6D,0,109,64,"hangulfont_1.tex:15,4","13,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
골,U+ACE8,80,C0,6E,0,110,64,"hangulfont_1.tex:0,5","14,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곪,U+ACEA,81,C0,6F,0,111,64,"hangulfont_1.tex:1,5","15,6",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곬,U+ACEC,82,C0,70,0,112,64,"hangulfont_1.tex:2,5","0,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곯,U+ACEF,83,C0,71,0,113,64,"hangulfont_1.tex:3,5","1,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곰,U+ACF0,84,C0,72,0,114,64,"hangulfont_1.tex:4,5","2,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곱,U+ACF1,85,C0,74,0,116,64,"hangulfont_1.tex:5,5","4,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곳,U+ACF3,86,C0,75,0,117,64,"hangulfont_1.tex:6,5","5,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
공,U+ACF5,87,C0,76,0,118,64,"hangulfont_1.tex:7,5","6,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곶,U+ACF6,88,C0,77,0,119,64,"hangulfont_1.tex:8,5","7,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
과,U+ACFC,89,C0,78,0,120,64,"hangulfont_1.tex:9,5","8,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
곽,U+ACFD,90,C0,79,0,121,64,"hangulfont_1.tex:10,5","9,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
관,U+AD00,91,C0,7A,0,122,64,"hangulfont_1.tex:11,5","10,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괄,U+AD04,92,C0,7B,0,123,64,"hangulfont_1.tex:12,5","11,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괆,U+AD06,93,C0,7C,0,124,64,"hangulfont_1.tex:13,5","12,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괌,U+AD0C,94,C0,7D,0,125,64,"hangulfont_1.tex:14,5","13,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괍,U+AD0D,95,C0,7E,0,126,64,"hangulfont_1.tex:15,5","14,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괏,U+AD0F,96,C0,7F,0,127,64,"hangulfont_1.tex:0,6","15,7",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
광,U+AD11,97,C0,80,0,128,64,"hangulfont_1.tex:1,6","0,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괘,U+AD18,98,C0,81,0,129,64,"hangulfont_1.tex:2,6","1,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괜,U+AD1C,99,C0,82,0,130,64,"hangulfont_1.tex:3,6","2,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괠,U+AD20,100,C0,83,0,131,64,"hangulfont_1.tex:4,6","3,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괩,U+AD29,101,C0,84,0,132,64,"hangulfont_1.tex:5,6","4,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괬,U+AD2C,102,C0,85,0,133,64,"hangulfont_1.tex:6,6","5,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괭,U+AD2D,103,C0,86,0,134,64,"hangulfont_1.tex:7,6","6,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괴,U+AD34,104,C0,87,0,135,64,"hangulfont_1.tex:8,6","7,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괵,U+AD35,105,C0,89,0,137,64,"hangulfont_1.tex:9,6","9,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괸,U+AD38,106,C0,8A,0,138,64,"hangulfont_1.tex:10,6","10,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
괼,U+AD3C,107,C0,8B,0,139,64,"hangulfont_1.tex:11,6","11,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굄,U+AD44,108,C0,8C,0,140,64,"hangulfont_1.tex:12,6","12,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굅,U+AD45,109,C0,8D,0,141,64,"hangulfont_1.tex:13,6","13,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굇,U+AD47,110,C0,8E,0,142,64,"hangulfont_1.tex:14,6","14,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굉,U+AD49,111,C0,8F,0,143,64,"hangulfont_1.tex:15,6","15,8",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
교,U+AD50,112,C0,90,0,144,64,"hangulfont_1.tex:0,7","0,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굔,U+AD54,113,C0,91,0,145,64,"hangulfont_1.tex:1,7","1,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굘,U+AD58,114,C0,92,0,146,64,"hangulfont_1.tex:2,7","2,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굡,U+AD61,115,C0,93,0,147,64,"hangulfont_1.tex:3,7","3,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굣,U+AD63,116,C0,94,0,148,64,"hangulfont_1.tex:4,7","4,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
구,U+AD6C,117,C0,95,0,149,64,"hangulfont_1.tex:5,7","5,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
국,U+AD6D,118,C0,96,0,150,64,"hangulfont_1.tex:6,7","6,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
군,U+AD70,119,C0,97,0,151,64,"hangulfont_1.tex:7,7","7,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굳,U+AD73,120,C0,98,0,152,64,"hangulfont_1.tex:8,7","8,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굴,U+AD74,121,C0,99,0,153,64,"hangulfont_1.tex:9,7","9,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굵,U+AD75,122,C0,9A,0,154,64,"hangulfont_1.tex:10,7","10,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굶,U+AD76,123,C0,9B,0,155,64,"hangulfont_1.tex:11,7","11,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굻,U+AD7B,124,C0,9C,0,156,64,"hangulfont_1.tex:12,7","12,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굼,U+AD7C,125,C0,9E,0,158,64,"hangulfont_1.tex:13,7","14,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굽,U+AD7D,126,C0,9F,0,159,64,"hangulfont_1.tex:14,7","15,9",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
굿,U+AD7F,127,C0,A0,0,160,64,"hangulfont_1.tex:15,7","0,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
궁,U+AD81,128,C0,A1,0,161,64,"hangulfont_1.tex:0,8","1,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
궂,U+AD82,129,C0,A2,0,162,64,"hangulfont_1.tex:1,8","2,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
궈,U+AD88,130,C0,A3,0,163,64,"hangulfont_1.tex:2,8","3,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
궉,U+AD89,131,C0,A4,0,164,64,"hangulfont_1.tex:3,8","4,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
권,U+AD8C,132,C0,A5,0,165,64,"hangulfont_1.tex:4,8","5,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
궐,U+AD90,133,C0,A6,0,166,64,"hangulfont_1.tex:5,8","6,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
궜,U+AD9C,134,C0,A7,0,167,64,"hangulfont_1.tex:6,8","7,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
궝,U+AD9D,135,C0,A8,0,168,64,"hangulfont_1.tex:7,8","8,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
궤,U+ADA4,136,C0,A9,0,169,64,"hangulfont_1.tex:8,8","9,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
궷,U+ADB7,137,C0,AA,0,170,64,"hangulfont_1.tex:9,8","10,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
귀,U+ADC0,138,C0,AB,0,171,64,"hangulfont_1.tex:10,8","11,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
귁,U+ADC1,139,C0,AC,0,172,64,"hangulfont_1.tex:11,8","12,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
귄,U+ADC4,140,C0,AD,0,173,64,"hangulfont_1.tex:12,8","13,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
귈,U+ADC8,141,C0,AE,0,174,64,"hangulfont_1.tex:13,8","14,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
귐,U+ADD0,142,C0,AF,0,175,64,"hangulfont_1.tex:14,8","15,10",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
귑,U+ADD1,143,C0,B0,0,176,64,"hangulfont_1.tex:15,8","0,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
귓,U+ADD3,144,C0,B1,0,177,64,"hangulfont_1.tex:0,9","1,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
규,U+ADDC,145,C0,B3,0,179,64,"hangulfont_1.tex:1,9","3,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
균,U+ADE0,146,C0,B4,0,180,64,"hangulfont_1.tex:2,9","4,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
귤,U+ADE4,147,C0,B5,0,181,64,"hangulfont_1.tex:3,9","5,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
그,U+ADF8,148,C0,B6,0,182,64,"hangulfont_1.tex:4,9","6,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
극,U+ADF9,149,C0,B7,0,183,64,"hangulfont_1.tex:5,9","7,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
근,U+ADFC,150,C0,B8,0,184,64,"hangulfont_1.tex:6,9","8,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
귿,U+ADFF,151,C0,B9,0,185,64,"hangulfont_1.tex:7,9","9,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
글,U+AE00,152,C0,BA,0,186,64,"hangulfont_1.tex:8,9","10,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
긁,U+AE01,153,C0,BB,0,187,64,"hangulfont_1.tex:9,9","11,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
금,U+AE08,154,C0,BC,0,188,64,"hangulfont_1.tex:10,9","12,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
급,U+AE09,155,C0,BD,0,189,64,"hangulfont_1.tex:11,9","13,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
긋,U+AE0B,156,C0,BE,0,190,64,"hangulfont_1.tex:12,9","14,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
긍,U+AE0D,157,C0,BF,0,191,64,"hangulfont_1.tex:13,9","15,11",Copied from supplied Gulim shadow2x source atlas and placed at txt.cpp index.
